cpu_utilization,memory_utilization,storage_gb,data_transfer_gb,duration_hours,pue,carbon_intensity_gco2_kwh,instance_tdp_watts,workload_type,aws_region,co2_emissions_kg
16.13,24.45,2073.36,0.0,35.3027,1.48,450,1.0,S3,ap-northeast-1,0.552631
66.38,55.3,4.22,0.576,0.0127,1.24,120,27.6,Lambda,us-west-2,0.004083
63.67,45.49,180.19,34.419,1.5778,1.1,100,121.6,EC2,ca-central-1,0.214064
60.19,59.18,343.77,2.59,18.1431,1.451,270,104.1,EC2,eu-west-1,0.500673
69.89,71.98,0.0,17.197,24.0,1.321,380,114.5,RDS,us-east-1,1.33031
75.75,33.2,1.3,0.417,0.0091,1.463,380,40.2,Lambda,us-east-1,0.009692
48.83,61.6,411.57,40.193,24.0,1.221,100,92.2,RDS,ca-central-1,0.386406
31.23,67.2,415.15,39.341,24.0,1.466,90,75.3,RDS,sa-east-1,0.293231
12.91,41.1,2117.28,66.586,36.1041,1.44,120,11.3,S3,us-west-2,0.645194
67.48,79.34,279.32,33.772,4.3968,1.336,270,241.6,EC2,eu-west-1,0.823425
65.83,85.95,479.69,57.748,9.553,1.339,90,197.0,EC2,sa-east-1,0.474249
9.57,22.39,1.31,0.755,0.0062,1.331,90,19.9,Lambda,sa-east-1,0.004081
17.22,15.21,1886.67,73.871,20.6325,1.461,90,15.8,S3,sa-east-1,0.459242
12.54,6.56,1.39,0.196,0.0059,1.434,270,41.1,Lambda,eu-west-1,0.003205
66.11,45.74,1.05,0.93,0.0138,1.295,120,37.1,Lambda,us-west-2,0.006654
38.34,28.35,2.07,0.129,0.0073,1.49,430,34.9,Lambda,ap-southeast-1,0.003482
21.71,17.08,434.17,55.015,29.157,1.489,90,7.7,S3,sa-east-1,0.328883
19.72,33.05,1.4,0.0,0.0161,1.427,270,25.0,Lambda,eu-west-1,0.0001
28.35,26.3,1773.41,63.223,40.1604,1.546,450,15.4,S3,ap-northeast-1,2.443379
32.55,37.69,557.45,78.146,13.1679,1.369,270,7.5,S3,eu-west-1,1.345368
1.0,21.41,1553.45,113.895,28.3945,1.342,320,15.6,S3,eu-central-1,2.454108
8.47,25.58,0.0,94.518,24.011,1.479,450,9.2,S3,ap-northeast-1,2.587304
50.1,14.56,1.6,1.046,0.0119,1.464,450,17.9,Lambda,ap-northeast-1,0.027751
54.47,77.85,649.93,5.296,24.0,1.717,120,153.2,RDS,us-west-2,0.479984
21.91,69.7,0.0,57.823,11.8264,1.253,120,159.1,EC2,us-west-2,0.481355
42.02,74.98,397.67,17.503,24.0,1.375,100,132.0,RDS,ca-central-1,0.308627
50.77,71.12,445.27,12.731,24.0,1.391,90,147.7,RDS,sa-east-1,0.318598
18.08,13.34,436.11,0.0,18.7232,1.322,450,9.1,S3,ap-northeast-1,0.078887
10.96,63.06,195.52,8.582,24.0,1.304,100,75.5,RDS,ca-central-1,0.084618
43.4,53.17,142.96,0.0,12.4059,,430,169.9,EC2,ap-southeast-1,0.538986
49.73,54.05,72.09,31.72,24.0,1.248,450,53.4,RDS,ap-northeast-1,1.224563
14.75,8.14,2312.93,95.179,28.3347,1.432,120,1.0,S3,us-west-2,0.837514
27.24,21.37,2362.16,47.01,20.0049,1.1,100,4.1,S3,ca-central-1,0.372243
1.0,17.27,0.0,30.338,19.7907,1.391,380,15.3,S3,us-east-1,0.680666
60.24,37.41,15.01,46.518,21.4234,1.1,380,128.9,EC2,us-east-1,1.775232
61.59,9.17,1.28,0.633,0.0055,1.298,100,32.9,Lambda,ca-central-1,0.003761
56.35,68.01,120.15,59.878,3.0198,1.364,450,129.0,EC2,ap-northeast-1,1.790548
6.55,25.2,458.54,35.574,18.5409,1.415,430,5.1,S3,ap-southeast-1,0.969761
60.92,66.75,178.73,0.403,11.4445,1.264,430,231.2,EC2,ap-southeast-1,0.901091
33.46,21.88,2.89,0.977,0.0097,1.325,270,22.7,Lambda,eu-west-1,0.01553
88.48,6.98,1.4,0.167,0.0082,1.639,450,41.7,Lambda,ap-northeast-1,0.004848
45.54,21.98,1.49,0.86,0.0103,1.324,320,30.0,Lambda,eu-central-1,0.016232
1.0,16.99,348.32,28.15,16.8521,1.497,270,11.2,S3,eu-west-1,0.480601
10.13,23.25,105.38,79.714,30.0327,1.364,100,7.8,S3,ca-central-1,0.483597
78.35,37.76,2.51,0.559,0.004,1.433,450,23.0,Lambda,ap-northeast-1,0.015295
3.44,41.63,1.02,0.797,0.0052,1.475,320,35.3,Lambda,eu-central-1,0.015425
12.79,9.41,1.18,0.125,0.006,1.294,270,28.9,Lambda,eu-west-1,0.002078
21.91,53.57,645.46,0.0,24.0,1.351,270,111.9,RDS,eu-west-1,0.285302
60.62,51.32,2.57,0.71,0.0108,1.426,380,38.7,Lambda,us-east-1,0.016232
12.06,29.6,2.92,0.349,0.0045,1.291,100,35.9,Lambda,ca-central-1,0.002079
59.59,90.83,317.05,0.0,0.001,1.205,320,146.2,EC2,eu-central-1,0.0001
50.23,55.01,387.72,77.735,12.2609,1.447,450,192.9,EC2,ap-northeast-1,2.978515
51.67,45.13,0.97,0.471,0.0054,,120,31.8,Lambda,us-west-2,0.003454
31.41,76.35,674.67,19.01,24.0,1.404,270,183.2,RDS,eu-west-1,0.897661
16.3,16.98,0.0,76.128,22.1287,1.126,100,2.4,S3,ca-central-1,0.466626
75.57,21.04,122.21,3.048,13.7678,1.274,450,130.3,EC2,ap-northeast-1,0.850355
79.68,58.84,272.67,41.542,1.4933,1.255,90,116.7,EC2,sa-east-1,0.237785
1.0,23.36,588.93,4.107,23.7853,1.313,320,19.8,S3,eu-central-1,0.15851
83.09,44.98,2.27,0.228,0.0065,1.372,320,28.7,Lambda,eu-central-1,0.00433
19.87,1.0,1342.09,0.0,27.2264,1.516,320,15.7,S3,eu-central-1,0.236507
33.61,27.83,175.17,13.015,14.433,1.305,270,219.4,EC2,eu-west-1,0.609238
31.26,11.0,3.02,0.504,0.0108,1.161,320,27.1,Lambda,eu-central-1,0.009851
62.07,55.39,419.67,15.96,15.1473,1.589,100,232.2,EC2,ca-central-1,0.451515
52.02,65.52,876.44,16.518,24.0,1.49,120,111.0,RDS,us-west-2,0.406519
21.55,15.27,1538.35,0.0,2.6853,,450,21.8,S3,ap-northeast-1,0.03856
14.14,35.08,56.95,103.867,34.4641,1.293,270,6.5,S3,eu-west-1,1.678865
15.73,16.64,1354.8,3.925,32.7019,1.264,120,16.4,S3,us-west-2,0.13182
14.29,28.44,1.52,0.248,0.0175,1.323,380,26.6,Lambda,us-east-1,0.00552
11.68,41.89,1.41,0.468,0.0075,1.36,270,26.3,Lambda,eu-west-1,0.007543
44.6,56.72,350.69,32.421,4.6166,1.29,270,151.9,EC2,eu-west-1,0.637582
1.0,23.41,806.6,81.203,31.4754,1.274,450,4.9,S3,ap-northeast-1,2.376996
41.75,23.18,1.45,0.0,0.0132,1.277,270,36.6,Lambda,eu-west-1,0.0001
56.93,19.5,0.07,0.297,0.0067,1.431,100,29.9,Lambda,ca-central-1,0.001764
1.0,47.17,1.83,0.258,0.0091,1.189,430,37.1,Lambda,ap-southeast-1,0.006624
76.36,57.11,657.02,15.116,24.0,1.312,120,121.0,RDS,us-west-2,0.48232
21.1,27.61,1778.4,34.98,28.1321,1.492,450,4.3,S3,ap-northeast-1,1.316496
75.04,12.17,2.61,0.835,0.009,1.476,270,26.2,Lambda,eu-west-1,0.01342
59.47,36.35,82.33,58.615,0.001,1.375,90,256.0,EC2,sa-east-1,0.310872
73.56,69.77,299.52,11.894,9.4771,1.42,100,238.2,EC2,ca-central-1,0.304594
30.1,,3.69,0.987,0.0145,1.46,270,38.9,Lambda,eu-west-1,0.016129
62.95,19.68,2.62,0.105,0.0048,1.253,320,37.3,Lambda,eu-central-1,0.002009
59.2,86.09,0.0,16.865,24.0,1.414,430,113.0,RDS,ap-southeast-1,1.408492
51.29,54.21,416.49,0.0,6.6365,1.284,120,154.6,EC2,us-west-2,0.087577
18.24,67.44,2.0,0.559,0.0061,1.254,120,49.5,Lambda,us-west-2,0.003994
23.65,65.81,1070.47,23.672,24.0,1.363,120,60.1,RDS,us-west-2,0.281596
48.05,68.27,158.69,38.189,24.0,1.558,320,110.1,RDS,eu-central-1,1.346776
69.13,10.09,1.24,0.586,0.0135,1.534,320,10.3,Lambda,eu-central-1,0.011491
8.43,7.02,759.64,74.336,24.1989,1.682,270,6.2,S3,eu-west-1,1.262151
83.36,31.4,157.57,14.523,5.0245,1.346,100,66.7,EC2,ca-central-1,0.126318
46.87,23.76,0.37,0.862,0.0059,1.487,90,40.1,Lambda,sa-east-1,0.004617
5.83,23.27,1828.58,82.789,29.6231,1.35,380,18.7,S3,us-east-1,2.285192
76.67,51.73,252.47,22.599,13.2263,1.321,270,45.7,EC2,eu-west-1,0.561987
96.09,60.37,854.15,54.176,24.0,1.429,270,65.9,RDS,eu-west-1,1.587719
8.24,74.42,0.92,0.751,0.0058,1.379,120,29.8,Lambda,us-west-2,0.005509
6.98,33.66,1478.99,13.19,41.3121,1.107,320,7.4,S3,eu-central-1,0.607843
60.22,27.52,3.01,0.867,0.0138,1.209,430,28.4,Lambda,ap-southeast-1,0.022355
9.88,38.79,186.79,38.456,3.1059,1.328,100,163.1,EC2,ca-central-1,0.238453
27.64,1.0,1.76,0.436,0.0054,1.465,270,23.1,Lambda,eu-west-1,0.007029
34.93,12.21,2955.67,28.309,28.0869,1.134,430,10.9,S3,ap-southeast-1,1.375694
84.81,39.88,301.47,32.02,3.798,1.268,320,128.5,EC2,eu-central-1,0.793469
18.08,76.55,218.59,10.207,14.9537,1.325,430,161.1,EC2,ap-southeast-1,0.52892
61.08,66.67,551.77,38.037,24.0,1.388,270,54.0,RDS,eu-west-1,0.949257
25.95,24.34,1447.66,17.459,31.1892,1.338,120,6.5,S3,us-west-2,0.226436
10.07,21.87,933.3,26.404,35.0333,1.451,450,12.4,S3,ap-northeast-1,0.969635
2.35,35.29,812.53,82.298,19.2835,1.315,120,10.7,S3,us-west-2,0.608327
3.76,41.52,1.44,0.881,0.0157,1.376,270,42.1,Lambda,eu-west-1,0.01439
24.57,91.44,0.0,42.633,10.884,1.482,100,153.1,EC2,ca-central-1,0.310503
83.71,91.01,539.68,11.112,24.0,1.378,430,122.2,RDS,ap-southeast-1,1.829464
9.83,14.52,1228.96,0.0,22.9132,1.1,270,7.3,S3,eu-west-1,0.136869
38.23,59.08,279.63,35.202,24.0,1.371,100,100.4,RDS,ca-central-1,0.350109
97.07,70.74,0.0,32.99,12.1048,1.388,430,120.7,EC2,ap-southeast-1,1.661548
57.62,45.79,465.53,0.0,2.4324,1.311,270,156.1,EC2,eu-west-1,0.080303
57.21,69.13,0.0,15.847,13.6715,1.424,320,95.0,EC2,eu-central-1,0.644919
66.0,17.05,1.65,0.351,0.0125,1.421,100,16.9,Lambda,ca-central-1,0.002114
9.03,30.78,1960.81,61.318,36.7933,1.391,270,7.2,S3,eu-west-1,1.298273
47.05,30.0,3.1,0.547,0.001,1.351,270,19.3,Lambda,eu-west-1,0.008674
24.98,65.74,0.0,12.179,24.0,1.487,270,154.7,RDS,eu-west-1,0.572319
20.35,100.0,250.8,60.117,1.0153,1.275,430,68.5,EC2,ap-southeast-1,1.56662
55.37,70.57,1.74,1.232,0.0141,1.302,270,36.6,Lambda,eu-west-1,0.019969
42.76,26.75,165.82,,7.9913,1.241,320,157.2,EC2,eu-central-1,1.237211
17.72,33.76,2.58,0.0,0.0206,1.345,120,38.5,Lambda,us-west-2,0.0001
46.0,84.04,617.5,43.382,24.0,1.297,450,107.4,RDS,ap-northeast-1,2.025787
43.56,45.78,278.38,0.0,4.2539,1.163,120,112.2,EC2,us-west-2,0.031664
82.25,47.66,31.07,40.054,24.0,1.492,270,103.8,RDS,eu-west-1,1.503913
42.85,84.99,643.9,22.984,24.0,1.428,380,176.1,RDS,us-east-1,1.563343
30.9,29.47,1.63,0.5,0.0076,1.488,90,34.5,Lambda,sa-east-1,0.00274
59.79,50.72,2.56,0.556,0.0015,1.471,320,21.9,Lambda,eu-central-1,0.01086
40.99,58.28,76.78,43.277,9.9098,1.545,100,175.0,EC2,ca-central-1,0.36425
22.82,1.0,1.5,0.075,0.0138,1.25,270,42.9,Lambda,eu-west-1,0.001275
32.23,90.12,152.91,19.655,24.0,1.263,380,72.3,RDS,us-east-1,0.722783
64.8,61.2,330.51,26.348,24.0,1.39,120,84.9,RDS,us-west-2,0.43079
57.84,99.97,204.37,54.747,2.7682,1.276,100,150.5,EC2,ca-central-1,0.368008
36.78,41.81,2.82,0.372,0.0139,1.398,270,42.0,Lambda,eu-west-1,0.006198
30.56,78.3,1041.95,14.739,24.0,1.476,450,85.3,RDS,ap-northeast-1,0.984833
1.55,22.12,311.85,141.791,38.4523,1.395,120,10.5,S3,us-west-2,1.059548
49.45,44.46,3.41,0.608,0.0051,1.423,270,39.4,Lambda,eu-west-1,0.009665
41.82,38.75,3.0,0.281,0.014,1.227,450,16.1,Lambda,ap-northeast-1,0.007418
48.94,58.9,12.01,0.0,1.1587,1.463,430,163.3,EC2,ap-southeast-1,0.059686
3.62,20.24,0.0,119.835,19.5057,1.518,90,11.1,S3,sa-east-1,0.636343
37.36,55.07,414.35,21.265,24.0,1.548,120,173.1,RDS,us-west-2,0.456768
39.93,35.42,0.59,0.377,0.0131,1.407,380,27.7,Lambda,us-east-1,0.008509
56.99,37.99,2.74,0.51,0.0094,1.225,270,27.1,Lambda,eu-west-1,0.008238
29.56,28.07,540.86,93.729,20.3697,1.579,270,9.5,S3,eu-west-1,1.594129
8.95,17.88,1237.09,59.931,23.9187,1.155,120,17.5,S3,us-west-2,0.511739
50.77,,342.38,35.448,24.0,1.222,120,43.2,RDS,us-west-2,0.343535
7.1,22.35,0.0,86.8,18.7279,1.314,100,3.4,S3,ca-central-1,0.534071
40.55,54.38,61.91,17.688,2.7075,1.304,270,86.6,EC2,eu-west-1,0.323389
17.89,24.85,1068.06,41.883,17.5622,1.376,380,7.7,S3,us-east-1,1.11182
76.4,71.03,244.34,0.0,24.0,1.462,120,74.4,RDS,us-west-2,0.246247
1.0,14.88,1013.05,81.615,35.5669,1.506,120,5.5,S3,us-west-2,0.647825
50.59,46.64,179.88,40.303,7.5269,1.417,120,119.8,EC2,us-west-2,0.362517
13.66,33.15,0.0,34.784,33.5775,1.31,120,7.2,S3,us-west-2,0.262333
17.79,28.62,0.0,102.807,15.1361,1.386,100,3.8,S3,ca-central-1,0.629907
12.89,29.44,0.98,0.855,0.0061,1.551,320,26.6,Lambda,eu-central-1,0.01662
10.13,25.34,737.65,82.043,22.8394,1.217,450,17.1,S3,ap-northeast-1,2.302585
77.94,49.12,160.39,3.468,5.3191,1.345,90,67.0,EC2,sa-east-1,0.05302
68.25,45.47,431.79,90.355,8.6091,1.294,380,210.2,EC2,us-east-1,2.758527
29.27,61.52,1.86,0.685,0.0119,1.531,380,23.5,Lambda,us-east-1,0.016034
50.19,29.94,178.53,49.676,3.8365,1.386,430,194.6,EC2,ap-southeast-1,1.504968
52.97,72.57,259.7,16.472,15.5667,1.478,270,134.8,EC2,eu-west-1,0.726108
26.94,14.45,1627.83,74.861,28.5713,1.31,120,10.8,S3,us-west-2,0.629523
67.34,23.91,3.29,0.159,0.0063,1.409,450,49.4,Lambda,ap-northeast-1,0.004502
8.46,10.69,292.67,0.0,37.3184,1.357,120,9.4,S3,us-west-2,0.027458
63.99,54.46,143.76,22.723,24.0,1.496,450,94.1,RDS,ap-northeast-1,1.579477
30.19,26.58,542.9,57.863,30.9139,1.471,450,1.0,S3,ap-northeast-1,1.706765
9.5,31.65,704.49,53.879,30.8274,1.333,90,9.6,S3,sa-east-1,0.334364
2.92,17.48,65.97,70.822,38.7048,1.426,100,11.6,S3,ca-central-1,0.440396
7.47,78.83,550.95,0.0,24.0,1.373,430,96.6,RDS,ap-southeast-1,0.193569
30.82,20.9,0.85,0.604,0.0163,1.525,380,54.8,Lambda,us-east-1,0.014323
25.08,61.39,256.93,57.906,1.6275,1.531,270,157.4,EC2,eu-west-1,0.972503
13.84,66.41,121.71,42.672,8.4509,1.335,120,65.3,EC2,us-west-2,0.324617
19.35,43.87,1.81,0.501,0.0128,1.448,120,13.0,Lambda,us-west-2,0.003578
39.26,24.08,2.03,0.419,0.0088,1.337,450,36.0,Lambda,ap-northeast-1,0.011103
79.09,100.0,21.31,8.594,24.0,1.335,430,115.1,RDS,ap-southeast-1,1.444349
30.7,60.85,535.46,9.887,24.0,1.491,320,163.0,RDS,eu-central-1,0.821032
50.75,58.9,476.58,0.0,16.4229,1.215,430,116.9,EC2,ap-southeast-1,0.552906
49.35,65.1,180.73,34.928,24.0,1.263,430,111.2,RDS,ap-southeast-1,1.646219
36.48,10.36,975.68,87.075,30.989,1.615,270,4.2,S3,eu-west-1,1.546639
58.85,80.61,405.51,0.0,8.1731,1.378,270,93.6,EC2,eu-west-1,0.18744
34.2,73.31,927.98,24.934,24.0,1.451,320,59.6,RDS,eu-central-1,0.84677
47.08,46.18,62.86,15.601,13.6369,1.33,380,195.8,EC2,us-east-1,0.980407
80.5,33.14,1.9,0.413,0.0041,1.307,430,27.5,Lambda,ap-southeast-1,0.010879
37.73,70.75,523.85,20.98,24.0,1.36,90,97.6,RDS,sa-east-1,0.246682
18.52,31.4,2.42,0.668,0.0108,1.329,320,31.6,Lambda,eu-central-1,0.012672
75.35,73.86,175.77,14.378,12.056,1.232,100,189.0,EC2,ca-central-1,0.310157
12.77,59.24,1.81,0.297,0.0153,1.219,90,25.1,Lambda,sa-east-1,0.001635
23.32,100.0,456.42,15.192,24.0,1.197,430,66.4,RDS,ap-southeast-1,0.657485
43.03,71.79,800.01,45.461,24.0,1.268,270,74.6,RDS,eu-west-1,1.082547
12.18,20.98,1053.27,0.0,23.6611,1.381,100,10.8,S3,ca-central-1,0.046883
19.83,18.69,588.04,19.368,5.1413,1.346,430,15.5,S3,ap-southeast-1,0.53253
40.0,74.78,0.0,21.685,24.0,1.488,320,108.9,RDS,eu-central-1,0.903446
37.55,27.14,3.51,0.321,0.0092,1.291,450,22.8,Lambda,ap-northeast-1,0.00862
6.77,33.78,1.03,0.795,0.0149,1.338,120,29.0,Lambda,us-west-2,0.005763
12.3,31.8,4.64,0.768,0.0015,1.319,270,39.4,Lambda,eu-west-1,0.012738
56.93,38.65,0.26,,0.0128,1.152,270,30.1,Lambda,eu-west-1,0.00628
57.09,58.09,148.05,0.0,24.0,1.359,380,106.0,RDS,us-east-1,0.764248
51.81,67.74,151.93,30.619,8.7325,1.309,120,200.8,EC2,us-west-2,0.370138
22.15,95.79,149.69,92.788,2.1199,1.345,430,286.8,EC2,ap-southeast-1,2.433673
16.5,39.32,682.95,4.764,19.1201,1.248,90,16.4,S3,sa-east-1,0.052399
6.8,75.33,335.96,8.607,24.0,1.263,320,154.6,RDS,eu-central-1,0.311187
1.0,25.91,1845.61,57.952,27.7715,1.546,270,10.4,S3,eu-west-1,1.166259
55.55,1.0,2.55,0.275,0.0081,1.2,320,21.0,Lambda,eu-central-1,0.00544
7.25,61.05,781.87,6.499,24.0,1.161,90,178.0,RDS,sa-east-1,0.095113
20.58,54.9,0.0,24.345,24.0,1.356,120,76.5,RDS,us-west-2,0.233105
59.0,65.59,2.15,0.303,0.007,1.251,380,32.6,Lambda,us-east-1,0.007107
57.08,,1.66,0.33,0.0078,1.216,450,42.1,Lambda,ap-northeast-1,0.009079
37.36,,994.94,9.223,24.0,1.28,120,70.2,RDS,us-west-2,0.210365
20.19,52.94,509.81,21.525,24.0,1.363,90,64.3,RDS,sa-east-1,0.171708
47.07,56.96,357.0,49.005,3.4193,1.462,320,46.7,EC2,eu-central-1,0.97059
25.27,53.64,3.6,0.627,0.0154,1.537,320,41.0,Lambda,eu-central-1,0.011946
23.61,1.96,1259.41,141.13,31.6426,1.114,90,10.9,S3,sa-east-1,0.815329
43.34,52.69,467.6,,24.0,1.388,320,66.2,RDS,eu-central-1,0.586823
29.75,40.69,3.86,0.795,0.0122,1.556,90,40.4,Lambda,sa-east-1,0.004191
1.0,,0.19,0.621,0.012,1.257,450,22.0,Lambda,ap-northeast-1,0.017066
56.58,78.97,333.32,39.03,7.5965,1.401,90,91.8,EC2,sa-east-1,0.257664
67.7,26.88,1.85,0.837,0.0129,1.394,430,23.8,Lambda,ap-southeast-1,0.021985
5.97,29.47,1256.7,43.418,33.7765,1.442,270,3.0,S3,eu-west-1,0.926199
52.78,61.61,1.13,0.338,0.0118,1.341,120,43.2,Lambda,us-west-2,0.002453
30.68,71.97,2.78,0.483,0.0068,1.183,450,29.0,Lambda,ap-northeast-1,0.013098
75.82,58.77,149.74,58.121,0.001,1.502,100,163.8,EC2,ca-central-1,0.35325
29.77,64.38,800.41,23.969,24.0,1.335,120,87.1,RDS,us-west-2,0.310715
74.35,77.92,0.0,37.771,5.6685,1.161,120,181.8,EC2,us-west-2,0.371645
50.75,81.22,230.07,22.021,0.001,1.197,90,185.8,EC2,sa-east-1,0.116698
48.38,37.48,1.41,0.338,0.0105,1.469,430,23.7,Lambda,ap-southeast-1,0.008729
22.47,33.99,154.08,75.199,28.163,1.246,270,17.8,S3,eu-west-1,1.247666
48.14,39.36,386.49,47.68,17.3361,1.468,380,177.9,EC2,us-east-1,1.997845
57.75,76.75,559.85,18.786,24.0,1.359,450,135.9,RDS,ap-northeast-1,1.727494
28.47,24.32,1.99,0.362,0.0143,1.305,100,23.5,Lambda,ca-central-1,0.002217
20.27,80.13,940.06,28.089,24.0,1.289,320,118.9,RDS,eu-central-1,0.895485
1.0,14.39,0.04,0.594,0.0143,1.328,270,19.6,Lambda,eu-west-1,0.009493
47.33,20.14,2.15,0.614,0.0124,1.239,380,29.5,Lambda,us-east-1,0.013917
25.23,62.17,2.54,0.904,0.0043,1.199,320,26.5,Lambda,eu-central-1,0.017407
75.68,86.41,382.65,36.365,7.4473,1.481,320,208.4,EC2,eu-central-1,1.306757
27.0,9.09,1110.55,55.084,22.5449,1.36,120,14.0,S3,us-west-2,0.458317
10.55,41.0,539.66,18.279,24.0,1.244,430,142.8,RDS,ap-southeast-1,0.739924
72.03,64.19,330.94,66.246,3.2051,1.179,450,193.2,EC2,ap-northeast-1,1.990257
58.98,51.75,426.72,26.514,24.0,1.268,100,165.2,RDS,ca-central-1,0.477494
28.13,70.09,595.88,12.401,24.0,1.248,320,134.3,RDS,eu-central-1,0.661898
36.02,87.48,508.42,21.563,24.0,1.208,430,89.8,RDS,ap-southeast-1,1.079435
12.02,16.61,1109.34,99.117,29.8042,1.349,100,9.1,S3,ca-central-1,0.653198
29.61,78.21,440.9,10.838,24.0,1.367,120,154.6,RDS,us-west-2,0.279385
40.25,62.5,2.23,1.019,0.0146,1.173,90,26.8,Lambda,sa-east-1,0.005562
21.67,21.6,0.75,0.507,0.0157,1.318,120,21.2,Lambda,us-west-2,0.003718
65.73,52.43,502.63,44.821,24.0,1.28,270,191.0,RDS,eu-west-1,1.815972
21.72,14.27,1511.92,0.0,27.3168,1.313,380,3.2,S3,us-east-1,0.272327
79.02,49.24,191.12,0.0,0.7653,1.508,320,266.9,EC2,eu-central-1,0.081009
100.0,23.13,1.77,1.291,0.008,1.331,90,47.5,Lambda,sa-east-1,0.006913
5.64,42.34,2.56,0.178,0.0211,1.365,450,28.7,Lambda,ap-northeast-1,0.004778
17.24,,1.68,0.152,0.0134,1.374,380,23.1,Lambda,us-east-1,0.003487
50.02,10.3,2.2,0.123,0.0054,1.438,270,39.6,Lambda,eu-west-1,0.002054
75.65,88.15,334.63,58.255,4.0566,1.269,380,79.6,EC2,us-east-1,1.435644
30.12,50.93,581.25,26.502,24.0,1.289,100,50.1,RDS,ca-central-1,0.231021
25.08,77.27,140.23,61.083,4.8721,1.335,430,227.1,EC2,ap-southeast-1,1.768655
56.76,77.35,333.47,13.051,24.0,1.442,320,121.9,RDS,eu-central-1,1.089429
16.26,8.22,1030.1,39.06,31.8246,1.374,270,19.4,S3,eu-west-1,0.836307
65.35,23.41,199.71,30.872,4.0506,1.59,320,276.7,EC2,eu-central-1,0.985199
50.17,15.76,0.92,0.607,0.0094,1.353,380,31.3,Lambda,us-east-1,0.013566
53.91,50.37,2.13,0.334,0.001,1.396,100,23.8,Lambda,ca-central-1,0.00201
41.7,57.6,617.53,10.087,24.0,1.38,90,123.4,RDS,sa-east-1,0.228525
19.7,48.22,1.03,0.578,0.0139,1.473,100,17.4,Lambda,ca-central-1,0.003399
54.94,57.39,908.2,20.398,24.0,1.353,270,83.8,RDS,eu-west-1,0.856729
58.44,56.57,1.18,0.863,0.001,1.346,430,26.7,Lambda,ap-southeast-1,0.022708
37.47,1.0,1.93,0.936,0.0121,1.262,380,14.9,Lambda,us-east-1,0.021047
48.81,44.08,142.15,28.703,0.001,1.334,270,118.8,EC2,eu-west-1,0.466245
29.98,39.34,241.85,7.835,24.0,1.54,450,96.0,RDS,ap-northeast-1,0.721842
39.85,69.15,846.59,0.0,24.0,1.386,430,86.5,RDS,ap-southeast-1,0.651145
11.45,24.15,248.24,96.302,30.9375,1.347,430,8.3,S3,ap-southeast-1,2.493583
18.43,80.2,599.74,35.099,24.0,1.504,90,92.0,RDS,sa-east-1,0.274487
37.43,72.18,256.85,13.03,24.0,1.25,450,102.0,RDS,ap-northeast-1,0.928526
3.77,31.03,2.59,0.453,0.0109,1.518,270,21.2,Lambda,eu-west-1,0.007283
17.96,23.93,2870.41,40.561,13.7726,1.363,90,10.2,S3,sa-east-1,0.283305
67.34,47.81,240.31,3.837,6.6199,1.251,100,174.9,EC2,ca-central-1,0.122292
1.0,65.39,513.38,38.856,24.0,1.661,320,78.6,RDS,eu-central-1,0.806841
77.75,75.64,164.28,44.603,6.424,1.424,120,49.0,EC2,us-west-2,0.360665
51.13,19.02,2.17,,0.013,1.294,270,42.1,Lambda,eu-west-1,0.010305
42.47,63.62,173.91,12.667,11.7479,1.381,270,124.6,EC2,eu-west-1,0.458396
24.74,44.69,423.75,5.499,24.0,1.495,270,99.8,RDS,eu-west-1,0.381773
23.46,7.47,1.56,0.23,0.0119,,90,15.5,Lambda,sa-east-1,0.001235
27.08,74.55,533.8,32.849,24.0,1.299,100,153.3,RDS,ca-central-1,0.355481
22.38,83.36,230.3,32.979,24.0,1.447,320,114.6,RDS,eu-central-1,0.954468
58.06,83.23,349.37,4.891,24.0,1.344,430,97.0,RDS,ap-southeast-1,0.971405
12.53,29.7,779.69,42.645,21.0615,1.373,320,12.4,S3,eu-central-1,0.948721
18.89,20.01,0.0,101.335,19.2471,1.615,90,8.5,S3,sa-east-1,0.556782
78.99,78.43,131.55,68.223,10.4446,1.394,450,125.8,EC2,ap-northeast-1,2.535553
76.18,63.57,29.86,26.207,7.6512,1.413,450,178.8,EC2,ap-northeast-1,1.356883
42.44,65.1,376.48,35.507,24.0,1.267,120,133.2,RDS,us-west-2,0.47883
9.46,33.09,1351.25,0.0,16.3846,1.289,270,1.0,S3,eu-west-1,0.10231
67.82,56.1,584.29,47.869,24.0,1.466,450,61.6,RDS,ap-northeast-1,2.003111
100.0,79.4,236.76,0.0,24.0,1.388,270,73.2,RDS,eu-west-1,0.685038
84.56,20.86,0.64,0.206,0.0091,1.25,450,35.2,Lambda,ap-northeast-1,0.005756
11.89,32.28,1045.69,61.393,21.3867,1.283,450,9.1,S3,ap-northeast-1,1.849757
40.55,35.86,1.94,0.358,0.0133,1.373,450,34.9,Lambda,ap-northeast-1,0.009756
5.57,29.84,202.1,0.0,13.2368,1.409,120,40.4,EC2,us-west-2,0.010394
64.77,73.49,508.96,16.142,24.0,1.156,90,136.1,RDS,sa-east-1,0.328502
6.26,29.63,2206.41,29.182,25.0623,1.348,450,5.8,S3,ap-northeast-1,1.204024
1.0,24.29,1228.71,36.971,22.2269,1.439,320,14.2,S3,eu-central-1,0.850291
